title,genres,overview,cast,director,rating,poster
Inception,Sci-Fi Thriller,"A thief who steals secrets through dreams is given a chance to erase his past.","Leonardo DiCaprio Joseph Gordon-Levitt Tom Hardy","Christopher Nolan",8.8,"https://image.tmdb.org/t/p/w500/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg"
Interstellar,Sci-Fi Drama,"Explorers travel through a wormhole in space to search for a new home for humanity.","Matthew McConaughey Anne Hathaway Jessica Chastain","Christopher Nolan",8.7,"https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg"
The Dark Knight,Action Crime Drama,"A masked hero faces a criminal mastermind who creates chaos across Gotham City.","Christian Bale Heath Ledger Gary Oldman","Christopher Nolan",9.0,"https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg"
The Matrix,Sci-Fi Action,"A computer hacker discovers that reality is not what it seems and joins a rebellion.","Keanu Reeves Laurence Fishburne Carrie-Anne Moss","Lana Wachowski Lilly Wachowski",8.7,"https://image.tmdb.org/t/p/w500/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg"
Avengers Endgame,Action Adventure Sci-Fi,"Heroes unite for a final battle to restore the universe after a devastating loss.","Robert Downey Jr Chris Evans Mark Ruffalo","Anthony Russo Joe Russo",8.4,"https://image.tmdb.org/t/p/w500/or06FN3Dka5tukK1e9sl16pB3iy.jpg"
Spider-Man No Way Home,Action Adventure Sci-Fi,"Spider-Man faces villains from different realities after a spell goes wrong.","Tom Holland Zendaya Benedict Cumberbatch","Jon Watts",8.2,"https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg"
Iron Man,Action Sci-Fi,"A billionaire inventor builds a powerful armored suit and becomes a superhero.","Robert Downey Jr Gwyneth Paltrow Jeff Bridges","Jon Favreau",7.9,"https://image.tmdb.org/t/p/w500/78lPtwv72eTNqFW9COBYI0dWDJa.jpg"
Guardians of the Galaxy,Action Adventure Comedy,"A group of unlikely heroes must work together to save the galaxy.","Chris Pratt Zoe Saldana Dave Bautista","James Gunn",8.0,"https://image.tmdb.org/t/p/w500/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg"
The Martian,Sci-Fi Adventure Drama,"An astronaut stranded on Mars must use science and determination to survive.","Matt Damon Jessica Chastain Jeff Daniels","Ridley Scott",8.0,"https://image.tmdb.org/t/p/w500/5aGhaIHYuQbqlHWvWYqMCnj40y2.jpg"
Avatar,Sci-Fi Adventure Fantasy,"A marine becomes involved in the struggle between humans and an alien civilization.","Sam Worthington Zoe Saldana Sigourney Weaver","James Cameron",7.8,"https://image.tmdb.org/t/p/w500/kyeqWdyUXW608qlYkRqosgbbJyK.jpg"
Titanic,Romance Drama,"Two people from different social classes fall in love aboard a doomed ocean liner.","Leonardo DiCaprio Kate Winslet Billy Zane","James Cameron",7.9,"https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg"
Jurassic Park,Adventure Sci-Fi,"Scientists create a dinosaur theme park where prehistoric creatures escape.","Sam Neill Laura Dern Jeff Goldblum","Steven Spielberg",8.2,"https://image.tmdb.org/t/p/w500/fjTU1Bgh3KJu4cJH0M1K9p1H9t5.jpg"
The Avengers,Action Adventure Sci-Fi,"Earth's greatest heroes join forces to stop a powerful enemy from conquering the planet.","Robert Downey Jr Chris Evans Scarlett Johansson","Joss Whedon",8.0,"https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg"
Black Panther,Action Adventure Sci-Fi,"A new king must protect his technologically advanced nation from an enemy threatening his future.","Chadwick Boseman Michael B Jordan Lupita Nyongo","Ryan Coogler",7.3,"https://image.tmdb.org/t/p/w500/uxzzxijgPIY7slzFvMotPv8wjKA.jpg"
Doctor Strange,Fantasy Action Adventure,"A brilliant surgeon discovers the hidden world of magic after a life-changing accident.","Benedict Cumberbatch Chiwetel Ejiofor Rachel McAdams","Scott Derrickson",7.5,"https://image.tmdb.org/t/p/w500/uGBVj3bEbCoqSiYzLkQBaC7pD9H.jpg"
Thor,Action Adventure Fantasy,"A powerful but arrogant warrior is banished from his home and must learn humility.","Chris Hemsworth Natalie Portman Tom Hiddleston","Kenneth Branagh",7.0,"https://image.tmdb.org/t/p/w500/prSfAi1xGrhLQNxVSUFh61xQ4fX.jpg"
Captain America The First Avenger,Action Adventure Sci-Fi,"A determined soldier becomes a super-soldier and fights against a dangerous organization.","Chris Evans Hugo Weaving Hayley Atwell","Joe Johnston",7.0,"https://image.tmdb.org/t/p/w500/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg"
Black Widow,Action Adventure Sci-Fi,"A former spy confronts her past while facing a dangerous conspiracy.","Scarlett Johansson Florence Pugh David Harbour","Cate Shortland",6.7,"https://image.tmdb.org/t/p/w500/qAZ0pzat24kLdO3o8ejW3L4NqKJ.jpg"
Man of Steel,Action Sci-Fi,"A young man discovers his extraordinary powers and must decide how to use them to protect humanity.","Henry Cavill Amy Adams Michael Shannon","Zack Snyder",7.1,"https://image.tmdb.org/t/p/w500/8bE6gYvD5l0KxQkW4hF7lY2nM1P.jpg"
Wonder Woman,Action Adventure Fantasy,"An Amazon warrior leaves her island home to help end a global war.","Gal Gadot Chris Pine Robin Wright","Patty Jenkins",7.4,"https://image.tmdb.org/t/p/w500/vuW6rM5s0D9L0JYvL7xG5Q2B4qA.jpg"
